               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12669,            0.067787,             0.13845,                   0,                   0,                   0,                   0,             0.11946,             0.06219,             0.13333,              0.0928,              0.0008,              0.0008
                   1,             0.12002,            0.080788,             0.13786,                   0,                   0,                   0,                   0,             0.10967,            0.068781,             0.13301,            0.084699,           0.0016992,           0.0016992
                   2,             0.10977,            0.087297,             0.13665,                   0,                   0,                   0,                   0,            0.099195,            0.078912,             0.13226,            0.076597,           0.0025974,           0.0025974
                   3,             0.10129,            0.095268,             0.13524,          5.2766e-05,          9.1117e-05,          3.4654e-05,          1.2163e-05,            0.093439,            0.082675,             0.13105,            0.068495,           0.0034948,           0.0034948
                   4,            0.096715,             0.10135,             0.13353,          3.1951e-05,          0.00037749,           3.044e-05,          6.6925e-06,            0.094179,             0.07906,             0.12933,            0.060391,           0.0043913,           0.0043913
                   5,            0.089181,             0.10326,             0.13056,          0.00015926,           0.0034103,          0.00012099,          1.9117e-05,            0.092042,            0.073032,             0.12621,            0.052287,           0.0052869,           0.0052869
                   6,            0.088305,            0.098206,             0.12831,             0.69455,          0.00013017,          6.1273e-05,          2.2862e-05,            0.089548,            0.081473,             0.12252,            0.044182,           0.0061816,           0.0061816
                   7,             0.08634,            0.097152,             0.12406,             0.77299,           0.0005467,          0.00020437,           6.164e-05,            0.088476,            0.071193,              0.1209,            0.036075,           0.0070754,           0.0070754
                   8,            0.082445,            0.099669,             0.12146,             0.64928,           0.0003905,          0.00034892,          9.8303e-05,            0.086657,            0.087877,             0.11858,            0.027968,           0.0079683,           0.0079683
                   9,            0.080221,            0.091444,             0.11894,             0.63924,           0.0004686,            0.000322,          8.9896e-05,            0.087838,             0.07646,             0.11619,             0.01986,           0.0088604,           0.0088604
                  10,            0.084245,             0.10278,             0.11803,             0.71026,           0.0003905,          0.00054658,          0.00012966,            0.083021,            0.078632,             0.11476,            0.011751,           0.0097515,           0.0097515
                  11,            0.082185,            0.091319,             0.11607,          0.00026716,           0.0058675,          0.00030151,          6.4696e-05,            0.083544,            0.070543,             0.11139,           0.0099456,           0.0099456,           0.0099456
                  12,            0.081341,            0.091644,             0.11392,          0.00052393,           0.0068306,          0.00052621,          0.00014177,            0.081445,            0.070331,             0.11076,           0.0099456,           0.0099456,           0.0099456
                  13,            0.077174,            0.091138,             0.11549,             0.86178,          0.00075497,          0.00080772,           0.0002699,            0.075919,            0.074622,             0.10966,           0.0099406,           0.0099406,           0.0099406
                  14,            0.074151,            0.093997,             0.11293,          0.00056708,            0.019139,          0.00083223,          0.00028454,            0.080193,            0.073322,             0.10987,           0.0099357,           0.0099357,           0.0099357
                  15,            0.077224,            0.098662,             0.11414,          0.00074253,            0.019638,           0.0017975,          0.00046136,            0.069593,            0.075932,             0.10721,           0.0099307,           0.0099307,           0.0099307
                  16,            0.072172,            0.092249,             0.11096,           0.0010452,            0.029868,           0.0027892,          0.00092077,            0.070206,            0.075092,             0.10606,           0.0099258,           0.0099258,           0.0099258
                  17,            0.068957,             0.10201,             0.11058,           0.0013496,            0.028569,           0.0024125,           0.0010163,            0.069773,            0.075157,             0.10482,           0.0099208,           0.0099208,           0.0099208
                  18,            0.064911,             0.10257,             0.10994,          0.00056345,            0.019591,            0.001203,          0.00044378,            0.071083,            0.078485,             0.10489,           0.0099159,           0.0099159,           0.0099159
                  19,            0.068352,            0.097373,             0.10925,           0.0011908,            0.034804,           0.0023021,          0.00089348,            0.065377,            0.068501,             0.10136,           0.0099109,           0.0099109,           0.0099109
                  20,            0.068959,            0.095005,             0.10946,           0.0018129,            0.027721,           0.0035449,           0.0017939,             0.05916,            0.071379,             0.10012,            0.009906,            0.009906,            0.009906
                  21,            0.065943,             0.10397,             0.10483,           0.0022423,             0.05385,            0.005309,             0.00232,            0.054284,            0.071404,            0.099467,            0.009901,            0.009901,            0.009901
                  22,            0.064276,            0.099185,             0.10572,           0.0028319,            0.039504,           0.0056543,           0.0024562,            0.066352,            0.070729,            0.099203,           0.0098961,           0.0098961,           0.0098961
                  23,            0.071699,            0.089932,             0.10764,           0.0012699,             0.03868,           0.0058065,           0.0021664,            0.056807,            0.073404,            0.098133,           0.0098911,           0.0098911,           0.0098911
